"jd","star_name","band","validation_flag","magnitude"
2453655.92979,"AK AND","V","Z",12.574
2453655.93733,"AK AND","V","Z",12.562
2453655.94483,"AK AND","V","Z",12.574
2453655.95234,"AK AND","V","Z",12.582
2453655.95989,"AK AND","V","Z",12.568
2453655.9674,"AK AND","V","Z",12.555
2453655.97493,"AK AND","V","Z",12.587
2453655.98244,"AK AND","V","Z",12.577
2453655.99,"AK AND","V","Z",12.573
2453655.99752,"AK AND","V","Z",12.573
2453656.00484,"AK AND","V","Z",12.571
2453709.6382,"AK AND","Vis.","Z",15.3
2453978.4,"AK AND","Vis.","Z",12.8
2454019.83197,"AK AND","V","Z",14.173
2454019.83597,"AK AND","V","Z",14.192
2454042.77125,"AK AND","V","Z",15.001
2454126.62514,"AK AND","V","Z",16.886
2454311.7888,"AK AND","V","Z",12.89
2454329.798,"AK AND","V","Z",13.76
2454367.65241,"AK AND","V","Z",15.461
2454399.6236,"AK AND","V","Z",16.08
2454415.5781,"AK AND","V","Z",16.39
2454429.69882,"AK AND","V","Z",16
2454443.5924,"AK AND","V","Z",16.03
2454447.5125,"AK AND","V","Z",15.45
2454464.6377,"AK AND","V","Z",14.56
2454465.62847,"AK AND","V","Z",14.75
2454475.4976,"AK AND","V","Z",13.98
2454481.483,"AK AND","V","Z",14.03
2454481.483,"AK AND","V","Z",14.03
2454497.4825,"AK AND","V","Z",13.44
2454501.26124,"AK AND","V","Z",14.119
2454504.25363,"AK AND","V","Z",13.165
2454506.24707,"AK AND","V","Z",12.96
2454511.23434,"AK AND","V","Z",12.657
2454512.23207,"AK AND","V","Z",12.59
2454517.4967,"AK AND","V","Z",12
2454522.20341,"AK AND","V","Z",11.348
2454629.8116,"AK AND","V","Z",13.27
2454648.76389,"AK AND","Vis.","Z",13.9
2454654.8242,"AK AND","V","Z",14.01
2454655.8278,"AK AND","V","Z",14.06
2454662.67708,"AK AND","Vis.","Z",13.9
2454664.8355,"AK AND","V","Z",14.39
2454668.632,"AK AND","V","Z",14.32
2454678.8,"AK AND","Vis.","Z",14.5
2454684.588,"AK AND","V","Z",14.84
2454701.543,"AK AND","V","Z",15.19
2454709.8085,"AK AND","V","Z",15.57
2454713.508,"AK AND","V","Z",15.56
2454718.496,"AK AND","V","Z",15.93
2454720.8403,"AK AND","Vis.","Z",15.1
2454728.468,"AK AND","V","Z",16.14
2454732.457,"AK AND","V","Z",16.15
2454735.45,"AK AND","V","Z",15.93
2454736.447,"AK AND","V","Z",16.4
2454738.441,"AK AND","V","Z",16.26
2454749.412,"AK AND","V","Z",16.99
2454750.409,"AK AND","V","Z",16.01
2454750.6639,"AK AND","Vis.","Z",14.7
2454751.406,"AK AND","V","Z",16.21
2454752.403,"AK AND","V","Z",16.29
2454759.382,"AK AND","V","Z",16.44
2454762.374,"AK AND","V","Z",16.52
2454767.392,"AK AND","V","Z",16.48
2454783.314,"AK AND","Vis.","Z",15.98
2454787.4935,"AK AND","V","Z",15.57
2454790.338,"AK AND","Vis.","Z",15.56
2454796.4953,"AK AND","V","Z",14.98
2454802.5243,"AK AND","V","Z",14.64
2454804.276,"AK AND","V","Z",14.69
2454806.5691,"AK AND","V","Z",14.66
2454808.264,"AK AND","V","Z",13.9
2454823.5355,"AK AND","V","Z",13.57
2454831.34229,"AK AND","V","Z",12.928
2454835.5311,"AK AND","V","Z",12.49
2454847.5152,"AK AND","V","Z",11.55
2454856.4815,"AK AND","V","Z",11.04
2454857.2656,"AK AND","V","Z",11.06
